ts,open,high,low,close
"2026-08-13 14:19",150.95,151.8,150.7,150.95
"2026-08-13 14:20",151.7,152.95,151.7,152.7
"2026-08-13 14:21",154.6,155.0,154.2,154.55
"2026-08-13 14:22",155.0,155.0,155.0,155.0
"2026-08-13 14:23",153.5,153.5,153.5,153.5
"2026-08-13 14:24",155.2,155.2,155.2,155.2
"2026-08-13 14:25",155.15,155.6,155.15,155.6
"2026-08-13 14:26",153.6,153.6,153.6,153.6
"2026-08-13 14:27",157.35,157.35,157.35,157.35
"2026-08-13 14:28",158.1,158.1,158.1,158.1
"2026-08-13 14:29",159.05,159.25,159.05,159.25
"2026-08-13 14:30",161.5,162.15,161.5,162.1
"2026-08-13 14:31",158.85,159.1,158.7,158.7
"2026-08-13 14:32",156.15,156.4,156.15,156.4
"2026-08-13 14:33",156.25,156.25,155.95,155.95
"2026-08-13 14:34",156.4,156.4,156.2,156.2
"2026-08-13 14:35",157.3,157.55,157.2,157.4
"2026-08-13 14:36",156.75,156.95,156.75,156.95
"2026-08-13 14:37",157.6,157.6,157.25,157.4
"2026-08-13 14:38",160.3,160.9,160.3,160.9
"2026-08-13 14:39",161.7,161.7,161.5,161.6
"2026-08-13 14:40",162.1,162.4,162.1,162.4
"2026-08-13 14:41",163.4,163.5,163.0,163.5
"2026-08-13 14:42",162.75,162.75,162.55,162.55
"2026-08-13 14:43",161.3,162.0,161.05,162.0
"2026-08-13 14:44",160.5,160.5,159.9,160.15
"2026-08-13 14:45",159.35,159.9,159.35,159.55
"2026-08-13 14:46",155.35,155.5,155.05,155.5
"2026-08-13 14:47",157.6,157.6,157.0,157.0
"2026-08-13 14:48",152.6,153.2,152.5,152.85
"2026-08-13 14:49",153.35,154.3,153.35,153.9
"2026-08-13 14:50",153.0,153.5,153.0,153.45
"2026-08-13 14:51",153.6,153.6,150.6,150.6
"2026-08-13 14:52",151.6,152.4,151.6,152.0
"2026-08-13 14:53",151.3,151.3,150.95,151.25
"2026-08-13 14:54",149.8,150.3,149.8,150.05
"2026-08-13 14:55",152.4,152.75,151.8,151.8
